Region Name,Country
African Region,Algeria
African Region,Angola
African Region,Benin
African Region,Botswana
African Region,Burkina Faso
African Region,Burundi
African Region,Cabo Verde
African Region,Cameroon
African Region,Central African Republic
African Region,Chad
African Region,Comoros
African Region,Congo
African Region,Cote d’Ivoire
African Region,Democratic Republic of the Congo
African Region,Equatorial Guinea
African Region,Eritrea
African Region,Eswatini
African Region,Ethiopia
African Region,Gabon
African Region,Gambia
African Region,Ghana
African Region,Guinea
African Region,Guinea-Bissau
African Region,Kenya
African Region,Lesotho
African Region,Liberia
African Region,Madagascar
African Region,Malawi
African Region,Mali
African Region,Mauritania
African Region,Mauritius
African Region,Mozambique
African Region,Namibia
African Region,Niger
African Region,Nigeria
African Region,Rwanda
African Region,Sao Tome and Principe
African Region,Senegal
African Region,Seychelles
African Region,Sierra Leone
African Region,South Africa
African Region,South Sudan
African Region,Togo
African Region,Uganda
African Region,United Republic of Tanzania
African Region,Zambia
African Region,Zimbabwe
